drug,blood,brain
1,1.15 ,0.99 
1,1.90 ,0.98 
3,3.00 ,2.60 
3,3.00 ,2.67 
3,3.00 ,2.66 
3,3.00 ,2.78 
3,3.00 ,2.80 
5,5.34 ,5.92 
5,5.38 ,5.35 
5,5.40 ,4.33 
5,5.40 ,4.89 
5,5.45 ,5.21 
7,7.70 ,7.68 
7,7.80 ,9.81 
7,7.81 ,6.52 
7,7.85 ,9.71 
7,7.87 ,9.82 
7,7.91 ,9.81 
7,7.94 ,8.50 
9,9.03 ,9.47 
9,9.03 ,11.45 
9,9.07 ,12.14 
9,9.11 ,11.50 
9,9.16 ,10.65 
9,9.37 ,10.64 
10,10.17 ,9.78 
10,10.18 ,12.39 
10,10.18 ,8.68 
10,10.22 ,11.03 
10,10.22 ,8.00 
10,10.22 ,11.90 
10,10.50 ,7.25 
10,10.23 ,10.19 
10,10.23 ,9.93 
10,10.03 ,10.19 
