NBR,HRS,DAY, COST,DENS,MPH,YDS ,SEC
5,1094,1,26.3,20.4,38.8,100,7.8
10,894,2,21.8,106.2,10.6,220,20
25,647,3,19.5,141.3,7.7,440,44.8
30,659,4,17.9,121.7,8.5,880,105.1
75,529,5,15.4,130.5,8.6,1760,231.1
100,424,6,13.9,123.9,9.8,3520,499.8
125,376,7,14.5,29.5,31.8,5280,772.4
150,395,8,17.1,26.5,34,10560,1067
175,395,9,16.8,30,28.8,17600,2832.8
200,388,10,14.5,97,12.3,26400,4368.2
225,376,11,14.5,106.7,11.4,NA,NA
250,353,12,13.5,107.2,10.3,NA,NA
285,280,13,14.2,NA,NA,NA,NA
NA,NA,14,15.1,NA,NA,NA,NA
NA,NA,15,13.9,NA,NA,NA,NA
NA,NA,16,13.8,NA,NA,NA,NA
NA,NA,17,11.7,NA,NA,NA,NA
NA,NA,18,10.6,NA,NA,NA,NA
NA,NA,19,13.5,NA,NA,NA,NA
NA,NA,20,9.7,NA,NA,NA,NA
NA,NA,21,11,NA,NA,NA,NA
NA,NA,22,10.8,NA,NA,NA,NA
NA,NA,23,11.3,NA,NA,NA,NA
NA,NA,24,9.8,NA,NA,NA,NA
NA,NA,25,13.3,NA,NA,NA,NA
NA,NA,26,12.2,NA,NA,NA,NA
NA,NA,27,10.8,NA,NA,NA,NA
NA,NA,28,12.1,NA,NA,NA,NA
NA,NA,29,11.6,NA,NA,NA,NA
NA,NA,30,9.7,NA,NA,NA,NA
NA,NA,31,11.7,NA,NA,NA,NA
NA,NA,32,10.4,NA,NA,NA,NA
NA,NA,33,10.6,NA,NA,NA,NA
NA,NA,34,11,NA,NA,NA,NA
NA,NA,35,9.9,NA,NA,NA,NA
NA,NA,36,9.4,NA,NA,NA,NA
NA,NA,37,7.9,NA,NA,NA,NA
NA,NA,38,8.2,NA,NA,NA,NA
NA,NA,39,8.5,NA,NA,NA,NA
NA,NA,40,7.4,NA,NA,NA,NA
NA,NA,41,8.2,NA,NA,NA,NA
NA,NA,42,8.6,NA,NA,NA,NA
NA,NA,43,8.1,NA,NA,NA,NA
NA,NA,44,9.7,NA,NA,NA,NA
NA,NA,45,7.9,NA,NA,NA,NA
